epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,454.347,1.67461,4.12419,1.59656,0.43096,0.52357,0.47781,0.29157,1.34457,2.78644,1.38095,9.25887e-05,9.25887e-05,9.25887e-05
2,887.924,1.4645,2.71693,1.38412,0.75001,0.79838,0.86678,0.56174,1.2435,2.01363,1.30374,0.000177919,0.000177919,0.000177919
3,1338.57,1.3777,2.10509,1.32463,0.81946,0.86184,0.93326,0.62658,1.14797,1.90935,1.24276,0.000255911,0.000255911,0.000255911
4,1805.89,1.32601,1.81305,1.29467,0.87266,0.91264,0.95781,0.65661,1.09794,1.81311,1.20009,0.000244974,0.000244974,0.000244974
5,2326.88,1.26155,1.57507,1.26213,0.913,0.94261,0.97439,0.67078,1.08594,1.64292,1.19882,0.000233965,0.000233965,0.000233965
6,3018.52,1.2405,1.45246,1.2486,0.92179,0.95471,0.97605,0.67048,1.09448,1.43949,1.19996,0.000222956,0.000222956,0.000222956
7,3703.09,1.20929,1.35456,1.22993,0.92704,0.96826,0.97362,0.67921,1.06913,1.17115,1.18512,0.000211947,0.000211947,0.000211947
8,4394.5,1.19632,1.27326,1.21954,0.95384,0.97349,0.98441,0.70319,1.03192,1.00159,1.15439,0.000200938,0.000200938,0.000200938
9,5117.92,1.16475,1.17697,1.20991,0.95686,0.97032,0.98384,0.70739,1.03634,0.98741,1.15663,0.00018993,0.00018993,0.00018993
10,5586.74,1.14856,1.12749,1.19764,0.97351,0.97724,0.98638,0.70956,1.02346,0.93987,1.14533,0.000178921,0.000178921,0.000178921
11,6165.32,1.15472,1.07984,1.19796,0.96642,0.97047,0.98509,0.70126,1.05255,0.87657,1.17779,0.000167912,0.000167912,0.000167912
12,6690.99,1.13366,1.04806,1.1894,0.96569,0.97343,0.98676,0.71242,1.0158,0.8351,1.15295,0.000156903,0.000156903,0.000156903
13,7148.72,1.11984,1.00971,1.18324,0.96712,0.98097,0.98772,0.71412,1.01175,0.82113,1.13728,0.000145894,0.000145894,0.000145894
14,7613.29,1.09583,0.96844,1.16848,0.96467,0.98442,0.98795,0.71961,0.99838,0.75432,1.12548,0.000134886,0.000134886,0.000134886
15,8062.9,1.08631,0.93603,1.16746,0.97553,0.98168,0.9879,0.71294,0.99899,0.74613,1.13796,0.000123877,0.000123877,0.000123877
16,8698.51,0.97866,0.72069,1.15021,0.97622,0.98183,0.98755,0.71696,1.00732,0.73737,1.13383,0.000112868,0.000112868,0.000112868
17,9344.62,0.95814,0.68528,1.13923,0.97177,0.98716,0.98928,0.72615,0.98324,0.68753,1.11802,0.000101859,0.000101859,0.000101859
18,10037.3,0.9475,0.65548,1.12875,0.97916,0.98439,0.98967,0.72084,1.00077,0.68004,1.12875,9.08504e-05,9.08504e-05,9.08504e-05
19,10679.8,0.93095,0.63848,1.11594,0.98047,0.98972,0.99265,0.732,0.97132,0.64788,1.11336,7.98416e-05,7.98416e-05,7.98416e-05
20,11360.6,0.92136,0.61488,1.10658,0.97411,0.99053,0.99095,0.7272,0.98328,0.63612,1.12077,6.88328e-05,6.88328e-05,6.88328e-05
21,11924.2,0.91219,0.59897,1.10278,0.97934,0.9871,0.98985,0.73239,0.96306,0.61521,1.10354,5.7824e-05,5.7824e-05,5.7824e-05
22,12922.3,0.91043,0.58669,1.10233,0.978,0.9914,0.9924,0.73154,0.96827,0.61053,1.10731,4.68152e-05,4.68152e-05,4.68152e-05
23,13364.1,0.89645,0.57693,1.08948,0.97801,0.98778,0.98994,0.73498,0.96566,0.617,1.10481,3.58064e-05,3.58064e-05,3.58064e-05
24,14057.4,0.89153,0.5703,1.09348,0.97714,0.99397,0.99187,0.73952,0.95668,0.59418,1.10044,2.47976e-05,2.47976e-05,2.47976e-05
25,14586.6,0.88138,0.55961,1.08342,0.97504,0.99158,0.99004,0.73729,0.96121,0.58636,1.10275,1.37888e-05,1.37888e-05,1.37888e-05
